Equipment Description,Manufacturer,Model,Problem ,Work Done
UV Sterilization Plant,NA,NA,The interal glass tube was broken that caused water to get inside the lamp and leak,UV lamp and glass tube was replaced and the plant was sealed tight
Patient Monitor,Hwatime,H8,The device did not show correct reading also SPO2 reading not show,The device performance verification was conducted and SPO2 module was tightened 
Patient Monitor,Hwatime,H8,The device didn't show correct reading,The device performance verification was conducted
Patient Monitor,Hwatime,H8,The device didn't show correct reading,The device performance verification was conducted.
Patient Monitor,Hygeia Medical,NA,The device didn't show correct readings ,The device performance verification was conducted.
Electro Surgical Unit,Covidien Valleylab,Force FX,The bipolar probe was broken inside of the port making the probe insertion difficult,The broken Bipolar cable pin was accessed from inside and was removed
Syringe Pump,Hawkmed,HK-499,The syringe doesn't infuse but shows infused,Inspected and found out the Pitched Rod to be faulty
Syringe Pump,Kellymed,Kl-605T,The display didn't show up nicely due to water getting inside the device,The display needs replacement
Infusion Pump,Kellymed,ZNB-XAII,Rate error display,Tested the device and the alarm was cleared
 X-Ray Machine,Epsilon,EP-100,The Exposure Handswitch did multiple exposes at once.,Handswtich connections were secured firmly and tested the functionality
 X-Ray Machine,Epsilon,EP-100,The Handswitch wire needed elongation for back up use,Handswitch pinout was configured and the wire was elongated.
Tourniquet,Diamond,Dual Torniquet,The hose came out from the port when back pressure was exerted,Cable tie was tied up to the port.
 X-Ray Machine,AeroRad,NA,Handswitch not exposing,Performed the overall servicing of the Handswitch
Endoscope,FujiFilm,Endoscope,Enough pressure was not being built in the scope,"Pushed Syringe inside the scope for clearing the clog, Cleaned nd disinfeced with diluted Enzyme and hanged it upside down"
Autoclave,,,The device did not turn on,"inspected and found out the fuse was blown, EMI filter damaged and switches faulty."
ECG Machine,EDAN,SE-3,Lead II was not showing in the printed ECG report.,The Lead II setting was enabled from print layout setting.
ECG Machine,HRP,HC8,The ECG did not print report accurately,The printer head was aligned to its orginal position.
Syringe Pump,Hawkmed,HK-400,The syringe did not infuse although the device shows infusion complete,The Plunger Pitch rod has a threaded arm that has broken threads.
Syringe Pump,Kelly-Med,KL-605T,Water dripped inside of the device that damaged the display board,Inspected and diagnosed the display board has water between the LED panel and board.
Dental Chair,Confident,Mookambika,The air tube was leaky.,Replaced the connector with another one
Pulse Oximeter,NA,NA,The device did not turn on,Replaced the battrey that was drained
Nebulizer,Rossmax,NA,The fan motor was disllocated with broken outlet connector,Placed the motor to its position and joined the broken connector
Pulse Oximeter,NA,NA,The device did not turn on,Replaced the battries
Pulse Oximeter,NA,NA,The device did not turn on,Replaced the drained battries with ew one
Autoclave,NA,NA,The gasket was leaky.,Silicon gel was applied on both sides of gasket and cured for 24 hours.
Patient Monitor,Hwatime,H8,The ECG cable was missing,Installed new ECG cables
Patient Monitor,Hwatime,H8,ECG cable and NIBP cuff were faulty,Replaced the ECG and NIBP cuff
Patient Monitor,Hygeia Medical,NA,NIBP cuff was missing,New NIBP cuff and cable was installed
Defibrillator,Mindray,Beneheart D3,The device had error code x,"Inspected and performed overall service tests, battrey was drained as well as the paddles were not placed correctly"
Patient Monitor,Edan,X12,Co2 module not working ,CO2 module connection wire has been successful restored and clouged on inlet has been cleaned 
Patient Monitor ,Edan ,X12,Spo2 not working ,Inspection and found that spo2 port has been broken from the board. Port has been successfully repaired by soldering the port using extension wire 
Suction Machine,Konsung,9A-26D,The wiring were dismantled and device needed restoration,Rewired the power supply and the tubes were connected accordingly.
Suction Machine,St. Francis Medical,ST-SU650,The suction didnot create vacuum suction.,Inspected and found out the suction compressor has burnt winding. Rewired the winding
Suction Machine,St. Francis,ST-SU650,The suction hose connector was broken. ,Made another connector and adjusted the suction hose.
Autoclave,NA,NA,The door rise pedal was bent due to constant use and the door weight,Dismantled the pedal and sent it to be hammered 
Pulse Oximeter,Hexin Zondan,A3,The device did not show blood saturation,Inspected and ound out that the display cable was off the bracket. Aligned it properly
Pulse Oximeter,Hexin Zondan,A3,The device did not turn on.,Inspected and found out the spring from the clip was missing and the display cable torn
Patient Bed,Timotion,NA,The bed side panel did not go down,Inspected and found out the lever was damaged. Took it off.
Patient Bed,Timotion,NA,The bedside panel did not go down,Inspected and found out the lever was damaged. Took it off.
Suction Machine,Konsung,9A-26D,The device had missing pressure regulator,The pressure regulator was attached to the device and tested.
Dental Chair,Confident,Mookambika,The air rotor was leaky and water dripping even when the footswitch was not pressed,"Inspected and found out the hand piece to be loose, tightned it and works fine "
