id,doc_type,hospital,source_file,equipment_name,manufacturer,model,fault_description,initial_diagnosis,action_taken,content,reject_reason
H1-RM-00165,repair_record,Hospital 1,repair_records_1.csv,,,Hk-400Iii,issue,syringe calibration.,"during inspection, found that the pump was not delivering the accurate dose of medicine. performed calibration, and it is now ready for use.","Model: Hk-400Iii. Problem: issue. Initial diagnosis: syringe calibration.. Work done: during inspection, found that the pump was not delivering the accurate dose of medicine. performed calibration, and it is now ready for use.",Duplicate content
H1-RM-00202,repair_record,Hospital 1,repair_records_1.csv,,,Tess730,issue,syringe pumps was reported to be non-functional.,"upon inspection and calibration, it was found that the syringe positioning required adjustment to ensure accurate detection and delivery. the calibration was performed successfully, and the pumps were thoroughly tested. after verification, syringe pump is now functioning smoothly and operating within normal parameters.","Model: Tess730. Problem: issue. Initial diagnosis: syringe pumps was reported to be non-functional.. Work done: upon inspection and calibration, it was found that the syringe positioning required adjustment to ensure accurate detection and delivery. the calibration was performed successfully, and the pumps were thoroughly tested. after verification, syringe pump is now functioning smoothly and operating within normal parameters.",Duplicate content
H1-RM-00205,repair_record,Hospital 1,repair_records_1.csv,,,Hk-400Iii,issue,calibration failed,"during inspection and calibration, it was identified that the syringe positioning was misaligned, preventing accurate detection and delivery. the syringe positioning was recalibrated and adjusted properly. after completing the calibration process, pump was thoroughly tested and verified. the syringe pumps are now operating smoothly and performing within standard functional parameters.","Model: Hk-400Iii. Problem: issue. Initial diagnosis: calibration failed. Work done: during inspection and calibration, it was identified that the syringe positioning was misaligned, preventing accurate detection and delivery. the syringe positioning was recalibrated and adjusted properly. after completing the calibration process, pump was thoroughly tested and verified. the syringe pumps are now operating smoothly and performing within standard functional parameters.",Duplicate content
H1-RM-00212,repair_record,Hospital 1,repair_records_1.csv,Ultrasonic/Harmonic With Pressure,,Sonoca 300,issue,error displayed during power-on.,"the söring sonoca 300 was reported to be showing an error upon startup and was not functioning as expected. upon inspection, it was determined that the issue could be resolved by initiating the machine s self-test mode. the self-test was successfully performed, which cleared the error and restored normal operation. after completing the test and verifying all functions, the machine is now operating properly.","Equipment: Ultrasonic/Harmonic With Pressure. Model: Sonoca 300. Problem: issue. Initial diagnosis: error displayed during power-on.. Work done: the söring sonoca 300 was reported to be showing an error upon startup and was not functioning as expected. upon inspection, it was determined that the issue could be resolved by initiating the machine s self-test mode. the self-test was successfully performed, which cleared the error and restored normal operation. after completing the test and verifying all functions, the machine is now operating properly.",Duplicate content
H1-RM-00262,repair_record,Hospital 1,repair_records_1.csv,General Adult/Pediatric,,Vg70,issue,calibration failure.,"during inspection, the ventilator was found to have a calibration failure. the unit was recalibrated successfully, and all parameters were verified. the ventilator is now functioning properly and is ready for use.","Equipment: General Adult/Pediatric. Model: Vg70. Problem: issue. Initial diagnosis: calibration failure.. Work done: during inspection, the ventilator was found to have a calibration failure. the unit was recalibrated successfully, and all parameters were verified. the ventilator is now functioning properly and is ready for use.",Duplicate content
H1-RM-00279,repair_record,Hospital 1,repair_records_1.csv,General Adult/Pediatric,,Avea,issue,suspected air leak / loss of air reported by in-charge.,"as reported by the in-charge, the ventilator was suspected to have a loss of air. a comprehensive system inspection was performed, including leak testing and verification using a vt analyzer. all ventilation parameters were found to be within acceptable limits, with no evidence of air leakage.also, the filter was cleaned properly.following successful verification, the ventilator was confirmed to be operating smoothly and is ready for clinical use.","Equipment: General Adult/Pediatric. Model: Avea. Problem: issue. Initial diagnosis: suspected air leak / loss of air reported by in-charge.. Work done: as reported by the in-charge, the ventilator was suspected to have a loss of air. a comprehensive system inspection was performed, including leak testing and verification using a vt analyzer. all ventilation parameters were found to be within acceptable limits, with no evidence of air leakage.also, the filter was cleaned properly.following successful verification, the ventilator was confirmed to be operating smoothly and is ready for clinical use.",Duplicate content
H1-RM-00313,repair_record,Hospital 1,repair_records_1.csv,5 Parameters Bedside,,H9,issue,nibp measurement issue.,"upon inspection, it was found that the nibp cuff was improperly positioned/connected, leading to inaccurate or failed nibp readings. the cuff was repositioned and secured correctly. after correction and functional testing, the nibp function was restored, and both patient monitors were confirmed to be operating smoothly and ready for clinical use.","Equipment: 5 Parameters Bedside. Model: H9. Problem: issue. Initial diagnosis: nibp measurement issue.. Work done: upon inspection, it was found that the nibp cuff was improperly positioned/connected, leading to inaccurate or failed nibp readings. the cuff was repositioned and secured correctly. after correction and functional testing, the nibp function was restored, and both patient monitors were confirmed to be operating smoothly and ready for clinical use.",Duplicate content
H1-RM-00339,repair_record,Hospital 1,repair_records_1.csv,General Adult/Pediatric,,Avea,issue,ventilator was not functioning due to circuit occlusion.,"upon inspection, a circuit occlusion was identified as the cause of the malfunction. the issue was resolved by thoroughly cleaning the expiratory valve filter. after cleaning, comprehensive testing was performed to verify proper functionality. the ventilator is now operating smoothly.","Equipment: General Adult/Pediatric. Model: Avea. Problem: issue. Initial diagnosis: ventilator was not functioning due to circuit occlusion.. Work done: upon inspection, a circuit occlusion was identified as the cause of the malfunction. the issue was resolved by thoroughly cleaning the expiratory valve filter. after cleaning, comprehensive testing was performed to verify proper functionality. the ventilator is now operating smoothly.",Duplicate content
H1-RM-00355,repair_record,Hospital 1,repair_records_1.csv,5 Parameters Bedside,,Truescope Ultra Q5,issue,was inspected on incharge request.,no issue.,Equipment: 5 Parameters Bedside. Model: Truescope Ultra Q5. Problem: issue. Initial diagnosis: was inspected on incharge request.. Work done: no issue.,Duplicate content
H1-RM-00364,repair_record,Hospital 1,repair_records_1.csv,General Adult/Pediatric,,Avea,issue,o₂ calibration failure,"the ventilator was inspected following a reported o₂ calibration failure. during troubleshooting, the oxygen (o₂) sensor was tested and found to be faulty and out of specification. the defective o₂ sensor was replaced with a new, compatible sensor. after replacement, o₂ calibration was performed successfully. the ventilator was then fully tested and confirmed to be operating normally with accurate oxygen concentration readings.","Equipment: General Adult/Pediatric. Model: Avea. Problem: issue. Initial diagnosis: o₂ calibration failure. Work done: the ventilator was inspected following a reported o₂ calibration failure. during troubleshooting, the oxygen (o₂) sensor was tested and found to be faulty and out of specification. the defective o₂ sensor was replaced with a new, compatible sensor. after replacement, o₂ calibration was performed successfully. the ventilator was then fully tested and confirmed to be operating normally with accurate oxygen concentration readings.",Duplicate content
